player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Kamil Grosicki,Hull,Midfielder,0,5,0,0,1,0,0,0,0,17,747,-11.5,-1.39
Matthew Lowton,Burnley,Defender,0,2,0,0,8,8,0,0,0,45,2790,-43.0,-1.39
Danny Welbeck,Arsenal,Forward,1,0,0,0,1,0,0,0,0,10,417,-6.5,-1.4
Danny Simpson,Leicester,Defender,0,3,0,0,7,9,0,0,0,40,2448,-38.0,-1.4
Jack Stephens,Southampton,Defender,0,1,0,0,3,0,0,0,0,17,931,-14.5,-1.4
Aaron Cresswell,West Ham,Defender,0,2,0,0,4,2,1,0,0,30,1788,-28.0,-1.41
Harrison Reed,Southampton,Midfielder,0,0,0,0,0,0,0,0,0,1,64,-1.0,-1.41
Ryan Shawcross,Stoke,Defender,1,2,0,0,7,6,0,0,1,45,2700,-42.5,-1.42
Pablo Zabaleta,Man City,Defender,1,0,0,0,1,2,0,0,0,17,914,-14.5,-1.43
Leiva Lucas,Liverpool,Midfielder,0,2,0,0,2,3,0,0,0,15,848,-13.5,-1.43
Phil Bardsley,Stoke,Defender,0,0,0,0,3,4,1,0,0,17,1168,-18.5,-1.43
Ahmed Musa,Leicester,Forward,2,0,0,0,1,1,0,0,0,18,748,-12.0,-1.44
Daniel Amartey,Leicester,Midfielder,1,1,0,0,4,3,0,0,0,29,1528,-24.5,-1.44
Mathieu Flamini,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,4,250,-4.0,-1.44
Pedro Obiang,West Ham,Midfielder,1,2,0,0,4,7,0,0,0,32,1763,-28.5,-1.45
Yohan Benalouane,Leicester,Defender,0,0,0,0,2,0,0,0,0,8,435,-7.0,-1.45
Lazar Markovic,Hull,Midfielder,1,0,0,0,2,3,0,0,0,15,771,-12.5,-1.46
Francis Coquelin,Arsenal,Midfielder,0,1,0,0,4,5,0,0,0,26,1569,-25.5,-1.46
Omar Elabdellaoui,Hull,Defender,0,0,0,0,1,0,0,0,0,9,525,-8.5,-1.46
José Holebas,Watford,Defender,2,4,0,0,7,12,0,0,0,49,2549,-41.5,-1.47
Robert Huth,Leicester,Defender,2,2,0,0,7,8,0,0,1,48,2656,-43.5,-1.47
Winston Reid,West Ham,Defender,2,3,0,0,6,7,1,0,0,44,2227,-36.5,-1.48
Wes Morgan,Leicester,Defender,1,1,0,0,5,3,0,0,0,45,2430,-40.0,-1.48
Cheikhou Kouyaté,West Ham,Midfielder,1,1,0,0,6,3,0,0,0,46,2465,-40.5,-1.48
Albert Adomah,Middlesbrough,Midfielder,0,0,0,0,0,0,0,0,0,2,122,-2.0,-1.48
Jose Fonte,West Ham,Defender,0,0,0,0,8,3,0,0,0,44,2520,-41.5,-1.48
